tc_name,BR_945665_SRC,BR_1127927_SRC,BR_1154922_SRC,BR_1223550_SRC,BR_1265967_SRC,BR_1266270_SRC,BR_1271395_SRC,BR_1271766_SRC,BR_1271774_SRC,BR_1274459_SRC,BR_1274712_SRC,BR_1276070_SRC,BR_1276152_SRC,BR_1276447_SRC,BR_1276656_SRC,BR_1276818_SRC,BR_1276884_SRC,BR_1276966_SRC,BR_1277114_SRC,BR_1277151_SRC,BR_1277257_SRC
TC_18_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
TC_19_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
TC_20_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
TC_21_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
TC_22_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
TC_23_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
TC_24_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
TC_25_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
TC_26_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
TC_27_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
TC_28_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
TC_29_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
TC_30_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
TC_31_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
TC_32_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
TC_33_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
TC_34_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
TC_35_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
TC_36_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
TC_37_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
TC_38_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
TC_39_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
TC_40_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
TC_41_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
TC_42_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
TC_43_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
TC_44_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
TC_45_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
TC_46_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
TC_47_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
TC_48_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
TC_49_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
TC_50_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
TC_51_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
TC_52_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
TC_53_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
TC_54_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
TC_55_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
TC_56_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
TC_57_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
TC_58_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
TC_59_TRG,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
TC_60_TRG,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
TC_61_TRG,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
TC_62_TRG,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
TC_63_TRG,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
TC_64_TRG,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
TC_65_TRG,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
TC_66_TRG,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
TC_67_TRG,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
TC_68_TRG,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
TC_69_TRG,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
TC_70_TRG,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
TC_71_TRG,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
TC_72_TRG,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
TC_73_TRG,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
TC_74_TRG,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
TC_75_TRG,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
TC_76_TRG,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
TC_77_TRG,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
TC_78_TRG,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
TC_79_TRG,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
TC_80_TRG,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
TC_81_TRG,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
TC_82_TRG,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
TC_83_TRG,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
TC_84_TRG,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
TC_85_TRG,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
TC_86_TRG,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
TC_87_TRG,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
TC_88_TRG,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
TC_89_TRG,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
TC_90_TRG,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
TC_91_TRG,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
TC_92_TRG,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
TC_93_TRG,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
TC_94_TRG,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
TC_95_TRG,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
TC_96_TRG,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
TC_97_TRG,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
TC_98_TRG,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
TC_99_TRG,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
TC_100_TRG,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
TC_101_TRG,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
TC_102_TRG,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
TC_103_TRG,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
TC_104_TRG,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
TC_105_TRG,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
TC_106_TRG,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
TC_107_TRG,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
TC_108_TRG,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
TC_109_TRG,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
TC_110_TRG,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
TC_111_TRG,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
TC_112_TRG,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
TC_113_TRG,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
TC_114_TRG,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
TC_115_TRG,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
TC_116_TRG,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
TC_117_TRG,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
TC_118_TRG,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
TC_119_TRG,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
TC_120_TRG,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
TC_121_TRG,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
TC_122_TRG,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
TC_123_TRG,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
TC_124_TRG,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
TC_125_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_126_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_127_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_128_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_129_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_130_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_131_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_132_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_133_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_134_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_135_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_136_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_137_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_138_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_139_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_140_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_141_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_142_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_143_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_144_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_145_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_146_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_147_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_148_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_149_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_150_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_151_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_152_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_153_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_154_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_155_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_156_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_157_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_158_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_159_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_160_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_161_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_162_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_163_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_164_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_165_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_166_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_167_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_168_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_169_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_170_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_171_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_172_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_173_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_174_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_175_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_176_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_177_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_178_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_179_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_180_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_181_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_182_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_183_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_184_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_185_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_186_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_187_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_188_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_189_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_190_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_191_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_192_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_193_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_194_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_195_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_196_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_197_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_198_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_199_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_200_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_201_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_202_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_203_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_204_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_205_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_206_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_207_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
