bug_number,new_awesome_bar,windows_child_mode,apz_async_scrolling,browser_customization,pdf_viewer,context_menu,w10_comp,tts_in_desktop,tts_in_rm,webgl_comp,video_and_canvas_render,pointer_lock_api,webm_eme,zoom_indicator,downloads_dropmaker,webgl2,flac_support,indicator_device_perm,flash_support,notificationbox,update_directory
1297976,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1299458,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1300738,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1301056,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1301421,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1301784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1302468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1303339,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1305195,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1305676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1305737,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1306639,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1309856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1311998,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1312018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1313290,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1313778,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1313969,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1314643,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1315514,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1316126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1318903,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1319119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1319433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1319919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1320557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1323211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1325902,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1328913,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1330745,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1334844,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1335538,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1335992,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1336227,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1337682,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1339497,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1343256,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1344446,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1345687,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1352539,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1353831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1357085,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1357458,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1365887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1408361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1430603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1432915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1449700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1451475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
