artf_name|artf_description
UC_003_TRG|"Use Case ID: 003

Use Case Name: User Replaces Words in Text

User/Actor: End user

Preconditions:
. System is running
. Main window is selected
. There is some text in the text area from a file saved in the system

Basic Flow:

1. User clicks the ‘Find…’ button
    System displays new window with ‘Search and Replace’ options
2. User insert the text to be found in the field ‘Search for’ and the text to replace the original one in the ‘Replace with’ field
    System displays the inserted texts in the respective text areas
3. User clicks the button ‘Find’
    System highlights first occurrence of word found in text
4. User clicks the button ‘Replace’
    System changes highlighted word by word in ‘Replace with’ field
5. User clicks the button ‘Find’ again
    System displays a dialog box informing the user that no more matches were found and asks if he/she wishes to continue the search from the beginning
6. User clicks the button ‘No’
    System closes the dialog box
7. User clicks button ‘Close’
    System closes the ‘Search and Replace’ window and main window is displayed with the found word highlighted and the caret next to it
8. User clicks button ‘Save’
    System saves file


Postconditions:
. The original text is updated with the new content and file is saved with new content"
UC_007_TRG|"Use Case ID: 007

Use Case Name: User Creates New Shortcut

User/Actor: End user

Preconditions:
. System is running

Basic Flow:

1. User clicks the ‘Utilities’ button in the Navigator bar
    System displays ‘Utilities Pane’
2. User clicks the 'Global Options...' button
    System displays new window with General Global Options
3. User selects Shortcuts option in the side menu
    System displays imported keymap of shortcuts
4. User selects which shortcut to edit
    System displays dialog box to specify the shortcut
5. User enters the new shortcut
    System displays each keyboard key pressed by user in the input field
6. User clicks 'Ok' button
    System closes dialog box
7. User clicks 'Ok' button
    System closes the Shortcuts window and displays the main view


Postconditions:
. A new shortcut is created and saved"
UC_010_TRG|"Use Case ID: 010

Use Case Name: User Indent Lines

User/Actor: End user

Preconditions:
. System is running
. Main View is active
. There is some valid source code in the main view

Basic Flow:

1. User selects text lines to be indented 
    System hightlights text and displays caret at the end of selection
2. User clicks the 'Edit' button in Navigate panel
    System displays Edit options
3. User clicks the 'Indent' button into Edit options
    System displays Indent options
4. User clicks the 'Indent Lines' option
    System indents selected text and caret is displayed in the beggining of indented text

Postconditions:
. The file content has no modifications"
UC_002_TRG|"Use Case ID: 002

Use Case Name: User Saves New File

User/Actor: End user

Preconditions:
. System is running
. Main window is selected

Basic Flow:

1. User enters some text in the TextArea 
    System displays text entered in the TextArea of the main View
2. User clicks ‘Save’ button
    System opens a new window to choose the file name and directory
3. User navigates through the directories until the chosen one, enters the file name and click in ‘Save’ button
    System displays the main window with the file saved


Postconditions:
. The file is saved in the system"
UC_006_TRG|"Use Case ID: 006

Use Case Name: User Opens Source Code File

User/Actor: End user

Preconditions:
. System is running
. Main window is selected
. There is a valid source code file saved in the system

Basic Flow:

1. User clicks the ‘Open’ button in the Navigator bar
    System displays File Navigator window
2. User navigates until target directory
    System exhibits files inside the selected folder
3. User selects source code file to open
    System displays the file name in the ‘File name’ text field
4. User clicks ‘Open’ button
    System displays source code file content in main view highlighted


Postconditions:
. The selected file has no modifications in file system
. The source code is highlighted in the main view "
UC_004_TRG|"Use Case ID: 004

Use Case Name: User Opens New View

User/Actor: End user

Preconditions:
. System is running
. Main window is selected
. There is some text in the text area from a file saved in the system

Basic Flow:

1. User clicks the ‘View’ button in the Navigator bar
    System displays list of ‘View’ options
2. User clicks on ‘New View’ button
    System displays a new window with a copy of the text of the original view, the new window appear on top of the original
3. User inserts some text in the text area
    System displays the same new text in text areas of both views: old and new one
4. User clicks ‘Save’ button
    System displays File System Navigator
5. User selects file location (folder)
    System exhibits files inside the selected folder
6. User inserts file name in ‘File name’ field
    System displays inserted file name
7. User clicks ‘Save’ button
    System saves file

Postconditions:
. Both views are open and point out to the same file saved in the system"
UC_005_TRG|"Use Case ID: 005

Use Case Name: User Opens New File

User/Actor: End user

Preconditions:
. System is running
. Main window is selected

Basic Flow:

1. User clicks the ‘Open’ button in the Navigator bar
    System displays File Navigator window
2. User navigates until target directory
    System exhibits files inside the selected folder
3. User selects file to open
    System displays the file name in the ‘File name’ text field
4. User clicks ‘Open’ button
    System displays file content in main view

Postconditions:
. The selected file has no modifications in file system"
UC_008_TRG|"Use Case ID: 008

Use Case Name: User Visualizes Help Content

User/Actor: End user

Preconditions:
. System is running
. Main View is active

Basic Flow:

1. User clicks the ‘Help’ button in the Navigator bar
    System displays ‘Help Pane’
2. User clicks the 'jEdit Help' button
    System displays new window with jEdit Help content
3. User clicks the 'x' button
    System closes the jEdit Help window and displays main view

Postconditions:"
UC_001_TRG|"Use Case ID: 001

Use Case Name: User Searches for Word in Text

User/Actor: End user

Preconditions:
. System is running
. Main window is selected
. There is some text in the text area

Basic Flow:

1. User clicks the ‘Find…’ button 
    System displays new window with ‘Search and Replace’ options
2. User insert the text to be found in the field ‘Search for’
    System displays the inserted text in the text area
3. User clicks the button ‘Find’ 
    System highlights word found in text
4. User clicks the button ‘Find’ again 
    System displays a dialog box informing the user that no more matches were found and asks if he/she wishes to continue the search from the beginning
5. User clicks the button ‘No’
    System closes the dialog box
6. User clicks button ‘Close’
    System closes the ‘Search and Replace’ window and main window is displayed with the found word highlighted and the caret next to it

Postconditions:
. The original text was not modified in the system"
UC_009_TRG|"Use Case ID: 009

Use Case Name: User Finds Matching Brackets

User/Actor: End user

Preconditions:
. System is running
. Main View is active
. There is some valid source code with brackets in the main view

Basic Flow:

1. User puts caret next to bracket he/she wants to localize matching bracket
    System displays caret next to bracket
2. User clicks the 'Edit' button in Navigate panel
    System displays Edit options
3. User clicks the 'Source' button into Edit options
    System displays Source options
4. User clicks the 'Go to Matching Bracket' option
    System displays caret next to found matching bracket and hightlight the first one

Postconditions:
. The file content has no modifications"
